date,country,country_code,ranking,points,prev_points,prev_rank,confederation,pts_avg_1,pts_avg_wgt_1,pts_avg_2,pts_avg_wgt_2,pts_avg_3,pts_avg_wgt_3,pts_avg_4,pts_avg_wgt_4
2016-04-07,Argentina,ARG,1,1532(1531.67),1457,1,CONMEBOL,769.42,769.42,919.87,459.93,512.98,153.90,742.10,148.42
2016-04-07,Belgium,BEL,2,1352(1351.56),1506,-1,UEFA,592.33,592.33,929.90,464.95,552.65,165.79,642.41,128.48
2016-04-07,Chile,CHI,3,1348(1347.63),1307,2,CONMEBOL,850.55,850.55,489.25,244.63,584.18,175.25,386.02,77.20
2016-04-07,Colombia,COL,4,1337(1336.71),1215,4,CONMEBOL,617.18,617.18,772.00,386.00,619.07,185.72,739.06,147.81
2016-04-07,Germany,GER,5,1309(1309.31),1355,-1,UEFA,463.51,463.51,1033.19,516.60,589.60,176.88,761.63,152.33
2016-04-07,Spain,ESP,6,1277(1276.81),1374,-3,UEFA,684.65,684.65,440.29,220.15,683.14,204.94,835.36,167.07
2016-04-07,Brazil,BRA,7,1251(1250.94),1254,-1,CONMEBOL,565.90,565.90,793.26,396.63,762.73,228.82,297.92,59.58
2016-04-07,Portugal,POR,8,1184(1184.03),1234,-1,UEFA,576.48,576.48,584.73,292.36,682.02,204.60,552.90,110.58
2016-04-07,Uruguay,URU,9,1158(1157.57),1082,2,CONMEBOL,596.12,596.12,597.48,298.74,692.90,207.87,274.21,54.84
2016-04-07,England,ENG,10,1069(1069.34),1112,-1,UEFA,556.48,556.48,517.02,258.51,464.95,139.49,574.33,114.87
2016-04-07,Austria,AUT,11,1067(1066.83),1095,-1,UEFA,610.71,610.71,548.51,274.26,445.36,133.61,241.30,48.26
2016-04-07,Ecuador,ECU,12,1019(1018.76),1039,1,CONMEBOL,626.79,626.79,325.19,162.59,276.65,83.00,731.89,146.38
2016-04-07,Turkey,TUR,13,983(983.38),943,7,UEFA,679.94,679.94,256.89,128.44,392.72,117.82,285.88,57.18
2016-04-07,Switzerland,SUI,14,974(974.11),1070,-2,UEFA,390.85,390.85,545.66,272.83,678.06,203.42,535.07,107.01
2016-04-07,Italy,ITA,15,959(958.79),999,-1,UEFA,411.89,411.89,518.05,259.03,557.81,167.34,602.66,120.53
2016-04-07,Mexico,MEX,16,934(933.51),902,6,CONCACAF,465.44,465.44,483.79,241.90,404.36,121.31,524.36,104.87
2016-04-07,Netherlands,NED,17,931(930.54),997,-2,UEFA,269.28,269.28,886.14,443.07,403.65,121.10,485.47,97.09
2016-04-07,Hungary,HUN,18,925(925.03),951,1,UEFA,600.77,600.77,339.37,169.68,237.12,71.13,417.25,83.45
2016-04-07,Romania,ROU,19,922(922.29),990,-3,UEFA,370.01,370.01,689.03,344.52,401.73,120.52,436.19,87.24
2016-04-07,Bosnia and Herzegovina,BIH,20,913(913.11),917,1,UEFA,527.23,527.23,363.33,181.67,334.69,100.41,519.05,103.81
2016-04-07,France,FRA,21,907(906.99),871,3,UEFA,347.19,347.19,652.83,326.41,481.01,144.30,445.41,89.08
