,rank_diff,prob
0,0.0,0.238095238095
3,1.0,0.221804511278
6,2.0,0.25092936803
9,3.0,0.248
12,4.0,0.24254473161
15,5.0,0.253816793893
18,6.0,0.238993710692
21,7.0,0.271762208068
24,8.0,0.23246492986
27,9.0,0.251599147122
30,10.0,0.25
33,11.0,0.221719457014
36,12.0,0.245939675174
39,13.0,0.250535331906
42,14.0,0.266233766234
45,15.0,0.191244239631
48,16.0,0.236658932715
51,17.0,0.220140515222
54,18.0,0.231143552311
57,19.0,0.248192771084
60,20.0,0.243436754177
63,21.0,0.222222222222
66,22.0,0.242206235012
69,23.0,0.211055276382
72,24.0,0.198938992042
75,25.0,0.18320610687
78,26.0,0.221079691517
81,27.0,0.217741935484
84,28.0,0.248571428571
87,29.0,0.211180124224
90,30.0,0.226221079692
93,31.0,0.227154046997
96,32.0,0.219941348974
99,33.0,0.229357798165
102,34.0,0.167202572347
105,35.0,0.22256097561
108,36.0,0.257328990228
111,37.0,0.188235294118
114,38.0,0.207920792079
117,39.0,0.184210526316
120,40.0,0.260606060606
123,41.0,0.213793103448
126,42.0,0.187096774194
129,43.0,0.205673758865
132,44.0,0.225
135,45.0,0.225806451613
138,46.0,0.197674418605
141,47.0,0.182608695652
144,48.0,0.2109375
147,49.0,0.174603174603
150,50.0,0.189090909091
153,51.0,0.218446601942
156,52.0,0.245833333333
159,53.0,0.213389121339
162,54.0,0.20618556701
165,55.0,0.237885462555
168,56.0,0.192488262911
171,57.0,0.205
174,58.0,0.161137440758
177,59.0,0.184834123223
180,60.0,0.20942408377
183,61.0,0.206703910615
186,62.0,0.196078431373
189,63.0,0.201183431953
192,64.0,0.157608695652
195,65.0,0.164948453608
198,66.0,0.18407960199
201,67.0,0.193548387097
204,68.0,0.186813186813
207,69.0,0.165467625899
210,70.0,0.172839506173
213,71.0,0.187134502924
216,72.0,0.154362416107
219,73.0,0.238993710692
222,74.0,0.159722222222
225,75.0,0.148936170213
228,76.0,0.158273381295
231,77.0,0.18253968254
234,78.0,0.205882352941
237,79.0,0.228571428571
240,80.0,0.165289256198
243,81.0,0.151515151515
246,82.0,0.161904761905
249,83.0,0.18018018018
252,84.0,0.154545454545
255,85.0,0.0869565217391
258,86.0,0.166666666667
261,87.0,0.158878504673
264,88.0,0.193181818182
267,89.0,0.146788990826
270,90.0,0.134020618557
273,91.0,0.162790697674
276,92.0,0.168831168831
279,93.0,0.202247191011
282,94.0,0.191780821918
285,95.0,0.117021276596
288,96.0,0.103896103896
291,97.0,0.118279569892
294,98.0,0.142857142857
297,99.0,0.141025641026
300,100.0,0.160714285714
303,101.0,0.0847457627119
306,102.0,0.117647058824
309,103.0,0.118644067797
312,104.0,0.208955223881
315,105.0,0.0634920634921
318,106.0,0.0571428571429
321,107.0,0.078431372549
324,108.0,0.145161290323
327,109.0,0.15
330,110.0,0.130434782609
333,111.0,0.08
336,112.0,0.0833333333333
339,113.0,0.0526315789474
342,114.0,0.0714285714286
345,115.0,0.183673469388
348,116.0,0.063829787234
351,117.0,0.159090909091
354,118.0,0.0892857142857
357,119.0,0.162790697674
360,120.0,0.0555555555556
363,121.0,0.0731707317073
366,122.0,0.0909090909091
369,123.0,0.0333333333333
372,124.0,0.115384615385
375,125.0,0.0740740740741
378,126.0,0.1
381,127.0,0.09375
384,128.0,0.0344827586207
387,129.0,0.107142857143
390,130.0,0.136363636364
393,131.0,0.0
396,132.0,0.0769230769231
399,133.0,0.0769230769231
402,134.0,0.0357142857143
405,135.0,0.0540540540541
408,136.0,0.0833333333333
411,137.0,0.0384615384615
414,138.0,0.0526315789474
417,139.0,0.05
420,140.0,0.0
423,141.0,0.117647058824
426,142.0,0.0
429,143.0,0.0
432,144.0,0.0
435,145.0,0.0588235294118
438,146.0,0.133333333333
441,147.0,0.0
444,148.0,0.0555555555556
447,149.0,0.0
450,150.0,0.0
453,151.0,0.0
456,152.0,0.0
459,153.0,0.1
462,154.0,0.25
465,155.0,0.0833333333333
468,156.0,0.0
471,157.0,0.0
474,158.0,0.0
477,159.0,0.0
480,160.0,0.0
483,161.0,0.0
486,162.0,0.0
489,163.0,0.0
492,164.0,0.0
495,165.0,0.0
498,166.0,0.25
501,167.0,0.333333333333
504,168.0,0.285714285714
507,169.0,0.0
510,170.0,0.0
513,171.0,0.0
516,172.0,0.0
519,173.0,0.0
522,174.0,0.0
525,176.0,0.0
528,177.0,0.0
531,178.0,0.5
534,179.0,0.0
537,180.0,0.0
540,181.0,0.0
543,182.0,0.0
546,183.0,0.0
549,184.0,0.0
552,185.0,0.0
555,186.0,0.0
558,187.0,0.0
561,188.0,0.0
564,189.0,0.0
567,190.0,0.0
570,191.0,0.0
573,192.0,0.0
576,195.0,0.0
579,196.0,0.0
582,197.0,0.0
585,198.0,0.0
588,199.0,0.0
591,200.0,0.0
594,202.0,0.0
597,203.0,0.0
