yr,player,sell_club,buy_club,fee_pounds,fee_euros
1893,Willie Groves,West Bromwich Albion,Aston Villa,100,-
1904,Andy McCombie,Sunderland,Newcastle United,700,-
1905,Alf Common,Sunderland,Middlesbrough,"1,000",-
1913,Daniel Shea,West Ham United,Blackburn Rovers,"2,000",-
1913,Tommy Barber,Bolton Wanderers,Aston Villa,"2,000",-
1914,Percy Dawson,Heart of Midlothian,Blackburn Rovers,"2,500",-
1920,David Jack,Plymouth Argyle,Bolton Wanderers,"3,500",-
1922,Syd Puddefoot,West Ham United,Falkirk,"5,000",-
1922,Warney Cresswell,South Shields,Sunderland,"5,500",-
1925,Bob Kelly,Burnley,Sunderland,"6,500",-
1928,David Jack,Bolton Wanderers,Arsenal,"10,890",-
1932,Bernabé Ferreyra,Tigre,River Plate,"23,000",-
1949,Johnny Morris,Manchester United,Derby County,"24,000",-
1949,Eddie Quigley,Sheffield Wednesday,Preston North End,"26,500",-
1950,Trevor Ford,Aston Villa,Sunderland,"30,000",-
1951,Jackie Sewell,Notts County,Sheffield Wednesday,"34,500",-
1952,Hans Jeppson,Atalanta,Napoli,"52,000",-
1954,Juan Schiaffino,Peñarol,Milan,"72,000",-
1957,Enrique Omar Sivori,River Plate,Juventus,"93,000",-
1961,Luis Suárez,Barcelona,Internazionale,"152,000",-
1963,Angelo Sormani,Mantova,Roma,"250,000",-
1967,Harald Nielsen,Bologna,Internazionale,"300,000",-
1968,Pietro Anastasi,Varese,Juventus,"500,000",-
1973,Johan Cruyff,Ajax,Barcelona,"922,000",-
1975,Giuseppe Savoldi,Bologna,Napoli,"1,200,000",-
1976,Paolo Rossi,Juventus,Vicenza,"1,750,000",-
1982,Diego Maradona,Boca Juniors,Barcelona,"3,000,000",-
1984,Diego Maradona,Barcelona,Napoli,"5,000,000",-
1987,Ruud Gullit,PSV Eindhoven,Milan,"6,000,000",-
1990,Roberto Baggio,Fiorentina,Juventus,"8,000,000",-
1992,Jean-Pierre Papin,Marseille,Milan,"10,000,000",-
1992,Gianluca Vialli,Sampdoria,Juventus,"12,000,000",-
1992,Gianluigi Lentini,Torino,Milan,"13,000,000",-
1996,Ronaldo,PSV Eindhoven,Barcelona,"13,200,000",-
1996,Alan Shearer,Blackburn Rovers,Newcastle United,"15,000,000",-
1997,Ronaldo,Barcelona,Internazionale,"19,500,000",-
1998,Denílson,São Paulo,Real Betis,"21,500,000",-
1999,Christian Vieri,Lazio,Internazionale,"32,100,000","49,000,000"
2000,Hernán Crespo,Parma,Lazio,"35,500,000","55,000,000"
2000,Luís Figo,Barcelona,Real Madrid,"37,000,000","62,000,000"
2001,Zinedine Zidane,Juventus,Real Madrid,"46,600,000 ","75,000,000"
2009,Kaká,Milan,Real Madrid,"56,000,000 ","68,000,000"
2009,Cristiano Ronaldo,Manchester United,Real Madrid,"80,000,000 ","94,000,000"
2013,Gareth Bale,Tottenham Hotspur,Real Madrid,"85,300,000 ","100,000,000"
