,rank,club,country,level,elo,from,to,year
0,1,Real Madrid,ESP,1,1985.9987793,1962-05-11,1962-09-05,1962
1,2,Barcelona,ESP,1,1891.3314209,1962-05-11,1962-09-05,1962
2,3,Milan,ITA,1,1867.29016113,1962-05-11,1962-09-05,1962
3,4,Atletico,ESP,1,1838.06604004,1962-05-28,1962-06-01,1962
4,5,Benfica,POR,1,1829.78649902,1962-05-28,1962-06-01,1962
5,6,Fiorentina,ITA,1,1816.01501465,1962-05-11,1962-06-01,1962
6,7,Dynamo Kyiv,URS,1,1808.59350586,1962-05-26,1962-05-31,1962
7,8,Inter,ITA,1,1807.7244873,1962-05-26,1962-05-31,1962
8,9,Bilbao,ESP,1,1805.85510254,1962-05-26,1962-05-31,1962
9,10,Vasas SC,HUN,1,1792.4564209,1962-04-29,1962-06-01,1962
10,11,Torpedo Moskva,URS,1,1777.76367188,1962-05-30,1962-06-01,1962
11,12,Zaragoza,ESP,1,1767.19702148,1962-05-20,1962-05-31,1962
12,13,Roma,ITA,1,1767.03051758,1962-05-20,1962-05-31,1962
13,14,Spartak Moskva,URS,1,1763.37182617,1962-05-27,1962-05-31,1962
14,15,Ujpest,HUN,1,1758.41125488,1962-05-08,1962-06-01,1962
15,16,Sporting,POR,1,1754.99658203,1962-05-28,1962-06-01,1962
16,17,Tottenham,ENG,1,1752.34570312,1962-05-28,1962-06-01,1962
17,18,Valencia,ESP,1,1751.3927002,1962-05-28,1962-06-01,1962
18,19,Hamburg,FRG,1,1745.6217041,1962-05-21,1962-06-01,1962
19,20,Sevilla,ESP,1,1744.48730469,1962-05-21,1962-06-01,1962
20,21,Ferencvaros,HUN,1,1743.3494873,1962-05-21,1962-06-01,1962
21,22,Dynamo Moskva,URS,1,1738.64562988,1962-05-25,1962-06-01,1962
22,23,Bologna,ITA,1,1738.59814453,1962-05-25,1962-06-01,1962
23,24,Koeln,FRG,1,1729.34179688,1962-05-14,1962-06-01,1962
24,25,Everton,ENG,1,1726.59216309,1962-05-14,1962-05-30,1962
25,26,CSKA Moskva,URS,1,1725.44335938,1962-05-26,1962-05-30,1962
26,27,Hertha,FRG,1,1711.52514648,1962-05-20,1962-06-01,1962
27,28,Espanyol,ESP,1,1711.43261719,1962-05-20,1962-06-01,1962
28,29,Juventus,ITA,1,1711.35986328,1962-05-20,1962-06-01,1962
29,30,Burnley,ENG,1,1709.05871582,1962-05-20,1962-06-01,1962
30,31,Ipswich,ENG,1,1708.17626953,1962-05-26,1962-06-01,1962
31,32,MTK,HUN,1,1704.57788086,1962-05-26,1962-06-01,1962
32,33,Betis,ESP,1,1703.62329102,1962-05-26,1962-06-01,1962
33,34,Sheffield Weds,ENG,1,1702.07275391,1962-05-26,1962-06-01,1962
34,35,Lok Moskva,URS,1,1700.68078613,1962-05-26,1962-06-01,1962
35,36,Pribram,CSR,1,1695.45751953,1962-05-28,1962-06-01,1962
36,37,Tatabanya,HUN,1,1695.11804199,1962-05-28,1962-06-01,1962
37,38,Frankfurt,FRG,1,1694.6854248,1962-05-28,1962-06-01,1962
38,39,West Brom,ENG,1,1690.05358887,1962-05-28,1962-06-01,1962
39,40,Tasmania,FRG,1,1689.73132324,1962-05-28,1962-06-01,1962
40,41,Oviedo,ESP,1,1688.27160645,1962-05-28,1962-06-01,1962
41,42,Elche,ESP,1,1687.97570801,1962-05-28,1962-06-01,1962
42,43,SKA Rostov,URS,1,1687.89990234,1962-05-28,1962-05-31,1962
43,44,Rangers,SCO,1,1686.59460449,1962-05-28,1962-05-31,1962
44,45,Porto,POR,1,1685.36450195,1962-05-28,1962-05-31,1962
45,46,Nuernberg,FRG,1,1684.02416992,1962-05-20,1962-05-31,1962
46,47,Neunkirchen,FRG,1,1683.41223145,1962-05-20,1962-05-31,1962
47,48,Atalanta,ITA,1,1683.13708496,1962-05-20,1962-05-31,1962
48,49,RC Paris,FRA,1,1681.88781738,1962-05-20,1962-05-31,1962
49,50,Reims,FRA,1,1677.03430176,1962-05-26,1962-05-31,1962
50,51,Dinamo Tbilisi,URS,1,1676.30004883,1962-05-26,1962-05-31,1962
51,52,Werder,FRG,1,1672.63671875,1962-05-20,1962-05-31,1962
52,53,Torino,ITA,1,1669.60583496,1962-05-11,1962-05-31,1962
53,54,Austria Wien,AUT,1,1665.72705078,1962-05-27,1962-06-01,1962
54,55,Sociedad,ESP,1,1664.66931152,1962-05-27,1962-06-01,1962
55,56,Sampdoria,ITA,1,1654.58154297,1962-05-20,1962-06-01,1962
56,57,Mallorca,ESP,1,1654.02404785,1962-05-20,1962-06-01,1962
57,58,Honved,HUN,1,1653.01623535,1962-05-20,1962-06-01,1962
58,59,Dundee,SCO,1,1650.98754883,1962-05-20,1962-06-01,1962
59,60,Aston Villa,ENG,1,1649.80578613,1962-05-20,1962-06-01,1962
60,61,Santander,ESP,1,1649.42834473,1962-05-20,1962-06-01,1962
61,62,Pirmasens,FRG,1,1647.8659668,1962-05-20,1962-06-01,1962
62,None,Standard,BEL,0,1646.59936523,1962-04-13,1962-07-01,1962
63,63,Saarbruecken,FRG,1,1645.71630859,1962-05-20,1962-06-01,1962
64,64,Osasuna,ESP,1,1645.45776367,1962-05-20,1962-06-01,1962
65,65,Celtic,SCO,1,1641.39575195,1962-05-26,1962-06-01,1962
66,66,Zenit,URS,1,1641.3684082,1962-05-26,1962-06-01,1962
67,None,Partizan,YUG,0,1640.8416748,1961-11-16,1962-09-05,1962
68,67,Man United,ENG,1,1640.75317383,1962-05-21,1962-06-01,1962
69,68,Palermo,ITA,1,1640.35717773,1962-05-21,1962-06-01,1962
70,69,Monaco,FRA,1,1639.03979492,1962-05-21,1962-06-01,1962
71,70,Kilmarnock,SCO,1,1638.58081055,1962-05-21,1962-06-01,1962
72,71,Salgotarjan,HUN,1,1635.19030762,1962-05-21,1962-06-01,1962
73,72,Metalist,URS,1,1634.81665039,1962-05-26,1962-05-31,1962
74,73,Ararat,URS,1,1634.19116211,1962-05-26,1962-05-31,1962
75,74,Leicester,ENG,1,1632.99243164,1962-05-26,1962-05-31,1962
76,75,Bolton,ENG,1,1632.37573242,1962-05-26,1962-05-31,1962
77,76,Sheffield United,ENG,1,1631.4083252,1962-05-21,1962-05-31,1962
78,77,Inter Bratislava,CSR,1,1627.57177734,1962-05-21,1962-06-01,1962
79,78,Arsenal,ENG,1,1626.25793457,1962-05-21,1962-05-31,1962
80,79,Szeged,HUN,1,1625.08251953,1962-05-26,1962-05-31,1962
81,80,Man City,ENG,1,1624.48999023,1962-05-26,1962-05-31,1962
82,81,Nimes,FRA,1,1623.8885498,1962-05-26,1962-05-31,1962
83,82,Mantova,ITA,1,1623.81933594,1962-05-26,1962-05-31,1962
84,83,Catania,ITA,1,1623.44165039,1962-05-26,1962-05-31,1962
85,84,Pakhtakor Tashkent,URS,1,1623.18359375,1962-05-26,1962-05-31,1962
86,85,Wolves,ENG,1,1622.52111816,1962-05-21,1962-06-01,1962
87,86,Vicenza,ITA,1,1620.98547363,1962-05-21,1962-06-01,1962
88,87,Padova,ITA,1,1620.93908691,1962-05-21,1962-06-01,1962
89,88,Venezia,ITA,1,1620.26904297,1962-05-21,1962-06-01,1962
90,89,Shakhtar,URS,1,1620.13867188,1962-05-26,1962-05-31,1962
91,90,Blackpool,ENG,1,1619.53527832,1962-05-26,1962-05-31,1962
92,91,Lautern,FRG,1,1616.58947754,1962-05-27,1962-05-31,1962
93,92,Dorogi,HUN,1,1614.64758301,1962-05-27,1962-05-31,1962
94,None,Vardar,YUG,0,1612.87438965,1961-11-16,1962-07-01,1962
95,93,Gyoer,HUN,1,1612.57409668,1962-05-27,1962-05-31,1962
96,94,Schalke,FRG,1,1611.26379395,1962-05-27,1962-05-31,1962
97,95,Genoa,ITA,2,1608.46520996,1962-05-28,1962-05-31,1962
98,96,Spal,ITA,1,1605.66638184,1962-05-28,1962-05-31,1962
99,97,Pecsi Dozsa,HUN,1,1603.53674316,1962-05-27,1962-06-02,1962
100,98,West Ham,ENG,1,1603.44262695,1962-05-27,1962-06-02,1962
101,99,Wiener SC,AUT,1,1602.95349121,1962-05-27,1962-06-02,1962
102,100,Rapid Wien,AUT,1,1601.31896973,1962-05-27,1962-06-02,1962
103,None,Blackburn,ENG,1,1600.28283691,1962-05-27,1962-06-02,1962
104,None,Birmingham,ENG,1,1599.09362793,1962-04-29,1962-06-11,1962
105,None,FC Nancy,FRA,1,1598.28918457,1962-05-20,1962-07-02,1962
106,None,Bari,ITA,2,1597.43457031,1962-05-28,1962-06-03,1962
107,None,St Pauli,FRG,1,1596.13452148,1962-04-16,1962-07-02,1962
108,None,Fulham,ENG,1,1593.61535645,1962-05-01,1962-07-02,1962
109,None,Slovan Bratislava,CSR,1,1591.6595459,1962-05-07,1962-07-04,1962
110,None,Offenbach,FRG,1,1590.69311523,1962-04-22,1962-08-19,1962
111,None,Bayern,FRG,1,1590.10498047,1962-04-16,1962-08-19,1962
112,None,Rouen,FRA,1,1589.82958984,1962-05-20,1962-08-18,1962
113,None,Lens,FRA,1,1589.59802246,1962-05-20,1962-08-18,1962
114,None,TeBe,FRG,1,1589.09020996,1962-04-30,1962-08-19,1962
115,None,Liverpool,ENG,2,1587.42504883,1962-05-05,1962-07-01,1962
116,None,Forest,ENG,1,1587.40222168,1962-04-29,1962-08-18,1962
117,None,Dynamo Leningrad,URS,1,1586.63244629,1962-05-30,1962-06-01,1962
118,None,Bohemians Praha,CSR,1,1585.06188965,1962-05-06,1962-07-05,1962
119,None,Sedan,FRA,1,1585.01452637,1962-05-20,1962-08-18,1962
120,None,Dunfermline,SCO,1,1584.51818848,1962-04-29,1962-08-22,1962
121,None,Belenenses,POR,1,1584.39794922,1962-05-28,1962-09-19,1962
122,None,Tenerife,ESP,1,1582.7902832,1962-05-11,1962-07-01,1962
123,None,Torpedo Kutaisi,URS,1,1581.08874512,1962-05-26,1962-05-31,1962
124,None,LASK,AUT,1,1580.66552734,1962-05-28,1962-06-03,1962
125,None,Wormatia,FRG,1,1580.62634277,1962-04-26,1962-08-19,1962
126,None,Oberhausen,FRG,1,1576.08093262,1962-04-15,1962-08-18,1962
127,None,Hildesheim,FRG,1,1575.51501465,1962-04-16,1962-08-19,1962
128,None,Karlsruhe,FRG,1,1574.78527832,1962-04-16,1962-08-19,1962
129,None,Udinese,ITA,1,1572.82739258,1962-05-11,1962-07-01,1962
130,None,Dortmund,FRG,1,1572.70996094,1962-04-08,1962-08-18,1962
131,None,Napoli,ITA,2,1571.06005859,1962-05-28,1962-06-03,1962
132,None,Lecco,ITA,1,1570.79272461,1962-05-11,1962-07-01,1962
133,None,Stade Francais,FRA,1,1570.33862305,1962-05-20,1962-08-18,1962
134,None,Kryliya Sovetov,URS,1,1568.17272949,1962-05-26,1962-05-31,1962
135,None,Angers,FRA,1,1564.45007324,1962-05-20,1962-08-18,1962
136,None,Toulouse,FRA,1,1563.79040527,1962-05-20,1962-08-18,1962
137,None,Wiener AC,AUT,1,1563.59777832,1962-05-27,1962-06-02,1962
138,None,Komloi,HUN,1,1563.46166992,1962-04-16,1962-08-12,1962
139,None,Zimbru,URS,1,1561.61401367,1962-05-20,1962-05-30,1962
140,None,Holstein,FRG,1,1557.98937988,1962-04-30,1962-08-19,1962
141,None,Stuttgart,FRG,1,1557.06982422,1962-04-22,1962-08-19,1962
142,None,Hearts,SCO,1,1554.77282715,1962-04-29,1962-08-22,1962
143,None,Banik Ostrava,CSR,1,1553.53747559,1962-05-11,1962-07-04,1962
144,None,Nice,FRA,1,1551.21801758,1962-05-20,1962-08-18,1962
145,None,CSKA Sofia,BUL,0,1551.14868164,1961-09-28,1962-09-13,1962
146,None,Ozdi Kohasz,HUN,1,1550.89538574,1962-04-16,1962-07-01,1962
147,None,Chelsea,ENG,1,1548.64538574,1962-04-29,1962-07-01,1962
148,None,Hradec Kralove,CSR,1,1546.23791504,1962-05-06,1962-07-04,1962
149,None,Lazio,ITA,2,1546.08959961,1962-05-28,1962-06-03,1962
