,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
0,0,GK,Ángel Bossio,1905-05-05,,Talleres,25.0,Argentina,Argentina,1930
1,0,GK,Juan Botasso,1908-10-23,,Argentino de Quilmes,21.0,Argentina,Argentina,1930
2,0,FW,Roberto Cherro,1907-02-23,,Boca Juniors,23.0,Argentina,Argentina,1930
3,0,DF,Alberto Chividini,1907-02-23,,Estudiantil Porteño,23.0,Argentina,Argentina,1930
4,,FW,Attilio Demaría,1909-03-19,,Gimnasia y Esgrima La Plata,21.0,Argentina,Argentina,1930
5,0,DF,José Della Torre,1906-03-23,,Racing,24.0,Argentina,Argentina,1930
6,0,MF,Juan Evaristo,1902-06-20,,Sportivo Barracas,28.0,Argentina,Argentina,1930
7,',FW,Mario Evaristo,1908-12-10,,Boca Juniors,21.0,Argentina,Argentina,1930
8,',FW,Manuel Ferreira (c),1905-10-22,,Estudiantes de La Plata,24.0,Argentina,Argentina,1930
9,0,MF,Luis Monti,1901-05-15,,San Lorenzo,29.0,Argentina,Argentina,1930
10,0,DF,Ramón Muttis,1899-03-12,,Boca Juniors,31.0,Argentina,Argentina,1930
11,0,MF,Rodolfo Orlandini,1905-01-01,,Estudiantil Porteño,25.0,Argentina,Argentina,1930
12,0,DF,Fernando Paternoster,1903-05-24,,Racing,27.0,Argentina,Argentina,1930
13,0,FW,Natalio Perinetti,1900-12-28,,Racing,29.0,Argentina,Argentina,1930
14,0,FW,Carlos Peucelle,1908-09-13,,Sportivo Buenos Aires,21.0,Argentina,Argentina,1930
15,-,DF,Edmundo Piaggio,1910-10-03,,Lanús,19.0,Argentina,Argentina,1930
16,0,FW,Alejandro Scopelli,1908-05-12,,Estudiantes de La Plata,22.0,Argentina,Argentina,1930
17,,FW,Carlos Spadaro,1902-02-05,,Lanús,28.0,Argentina,Argentina,1930
18,0,FW,Guillermo Stábile,1905-01-17,,Huracán,25.0,Argentina,Argentina,1930
19,0,MF,Pedro Suárez,1909-12-21,,Boca Juniors,20.0,Argentina,Argentina,1930
20,0,FW,Francisco Varallo,1910-02-05,,Gimnasia y Esgrima La Plata,20.0,Argentina,Argentina,1930
21,0,MF,Adolfo Zumelzú,1902-01-05,,Estudiantil Porteño,28.0,Argentina,Argentina,1930
22,-,FW,Juan Aguilera,1903-10-23,,Audax Italiano,26.0,Chile,Chile,1930
23,-,FW,Guillermo Arellano,1908-08-21,,Colo-Colo,21.0,Chile,Chile,1930
24,-,DF,Ernesto Chaparro,1901-01-04,,Colo-Colo,29.0,Chile,Chile,1930
25,-,MF,Arturo Coddou,1905-01-14,,Arturo Fernández Vial,25.0,Chile,Chile,1930
26,-,GK,Roberto Cortés,1905-02-02,,Colo-Colo,25.0,Chile,Chile,1930
27,-,MF,Humberto Elgueta,1904-09-10,,Santiago Wanderers,25.0,Chile,Chile,1930
28,-,GK,César Espinoza,1900-09-28,,Santiago Wanderers,29.0,Chile,Chile,1930
29,-,DF,Víctor Morales,1905-05-10,,Colo-Colo,25.0,Chile,Chile,1930
30,-,FW,Horacio Muñoz,1900-01-01,,Arturo Fernández Vial,30.0,Chile,Chile,1930
31,-,FW,Tomás Ojeda,1910-04-20,,Boca Juniors Antofagasta,20.0,Chile,Chile,1930
32,-,DF,Ulises Poirier,1897-02-02,,La Cruz Valparaiso,33.0,Chile,Chile,1930
33,-,DF,Guillermo Riveros,1902-02-10,,La Cruz Valparaiso,28.0,Chile,Chile,1930
34,-,MF,Guillermo Saavedra,1903-11-05,,Colo-Colo,26.0,Chile,Chile,1930
35,-,FW,Carlos Schneeberger,1902-06-21,,Colo-Colo,28.0,Chile,Chile,1930
36,-,FW,Guillermo Subiabre,1902-02-25,,Colo-Colo,28.0,Chile,Chile,1930
37,-,MF,Arturo Torres,1906-10-20,,Colo-Colo,23.0,Chile,Chile,1930
38,-,MF,Casimiro Torres,1906-01-01,,Everton,,Chile,Chile,1930
39,-,FW,Carlos Vidal,1902-02-24,,Audax Italiano,28.0,Chile,Chile,1930
40,-,FW,Eberardo Villalobos,1908-04-01,,Rangers,22.0,Chile,Chile,1930
41,-,DF,Numa Andoire,1908-03-19,0,FC Antibes,22.0,France,France,1930
